event_key,category,venue_slug,cup_name,grade_label,schedule_date,races,avg_field_size,avg_spread,median_spread,min_spread,max_spread,tight_race_share,super_tight_share,loose_share,avg_top_gap,avg_top3_gap,avg_tightness_index,best_race_number,best_race_spread
keiokaku_20251115_day3,today,keiokaku,ＣＴＣ杯＆ディリースポーツ杯,F2,20251115,11,7,7.137272727272724,6.63000000000001,4.68,10.489999999999995,0.09090909090909091,0.0,0.09090909090909091,1.2872727272727262,2.9690909090909083,0.6431363636363637,8,4.68
iwakidaira_20251115_day2,today,iwakidaira,日刊スポ・コム杯・ＧしいたけＣ,F1,20251115,12,7,8.971666666666668,9.060000000000002,6.410000000000011,11.700000000000003,0.0,0.0,0.3333333333333333,1.7466666666666673,2.929166666666666,0.5514166666666667,1,6.410000000000011
iwakidaira_2024021713,history,iwakidaira,いわきゴールドしいたけカップ,F2,20240217,12,7,10.033333333333337,10.650000000000002,5.61999999999999,13.11,0.0,0.0,0.6666666666666666,3.2591666666666677,4.376666666666666,0.4983333333333332,1,5.61999999999999
iwakidaira_2024030113,history,iwakidaira,名輪会Ｃ・阿部道杯・スポニチ杯,F1,20240301,12,7,10.586666666666662,10.61999999999999,4.540000000000006,21.959999999999994,0.16666666666666666,0.0,0.5833333333333334,2.545833333333333,4.816666666666664,0.4788333333333335,5,4.540000000000006
iwakidaira_2024101213,history,iwakidaira,福島民友杯・チャリ・ロト杯,F2,20241012,9,7,8.822222222222221,8.170000000000002,2.4799999999999898,11.740000000000009,0.1111111111111111,0.1111111111111111,0.4444444444444444,1.698888888888889,3.845555555555554,0.558888888888889,9,2.4799999999999898
iwakidaira_2025051613,history,iwakidaira,ルーキーシリーズ・スピチャン杯,F2,20250516,11,7,40.160909090909094,11.0,5.069999999999993,80.33,0.0,0.0,0.5454545454545454,1.4318181818181819,3.3845454545454534,0.3070909090909091,4,5.069999999999993
iwakidaira_2022111713,history,iwakidaira,スポーツ報知杯,F1,20221117,12,6.833333333333333,8.230833333333333,8.699999999999996,3.509999999999991,10.36,0.08333333333333333,0.0,0.08333333333333333,1.6416666666666668,3.4,0.5884583333333333,5,3.509999999999991
iwakidaira_2021092013,history,iwakidaira,いわきゴールドしいたけカップ,F2,20210920,12,6.75,16.2675,10.679999999999996,5.259999999999991,88.87,0.0,0.0,0.5833333333333334,2.210833333333333,4.137499999999999,0.47358333333333336,1,5.259999999999991
iwakidaira_2019022713,history,iwakidaira,福島民報杯,F2,20190227,12,7.833333333333333,11.366666666666669,11.110000000000007,7.299999999999997,16.74000000000001,0.0,0.0,0.75,1.6416666666666668,3.0108333333333324,0.43166666666666653,2,7.299999999999997
iwakidaira_2023122913,history,iwakidaira,Ｓ宮城・みんなの競輪カップ,F1,20231229,12,7,9.680833333333334,9.985,4.959999999999994,14.049999999999997,0.08333333333333333,0.0,0.5,2.1950000000000003,3.7833333333333337,0.5159583333333333,5,4.959999999999994
iwakidaira_2023080213,history,iwakidaira,Ｓあだたらカップスポーツ報知杯,F1,20230802,12,7,9.930833333333332,10.095000000000006,5.97999999999999,15.379999999999995,0.0,0.0,0.5,1.6816666666666642,3.5333333333333337,0.5034583333333333,8,5.97999999999999
iwakidaira_2024112413,history,iwakidaira,福島民報杯競輪公式投票ＣＴＣ杯,F2,20241124,7,7,9.48714285714286,9.180000000000007,4.930000000000007,12.25,0.14285714285714285,0.0,0.42857142857142855,1.6385714285714326,3.2971428571428567,0.525642857142857,7,4.930000000000007
